Date,Description,Debit,Credit,Balance
2024-01-03,Amazon Purchase,1200.00,,25000.00
2024-01-05,Salary, , 80000.00, 103000.00
2024-01-07,Office Lunch,420.00,,102580.00
2024-01-12,Petrol,650.00,,101930.00
2024-01-15,Loan Given to Rohan,1500.00,,100430.00
2024-01-19,Electricity Bill,854.00,,99576.00
2024-01-25,Groceries,880.00,,98696.00
2024-02-02,Uber Ride,420.00,,98276.00
2024-02-05,Phone Recharge,299.00,,97977.00
2024-02-09,Salary, , 80000.00, 177977.00
2024-02-10,Monthly Rent,18000.00,,159977.00
2024-02-12,Loan Borrowed From Priya,5000.00,,164977.00
2024-02-16,Restaurant Dinner,1200.00,,163777.00
2024-02-20,Medical Pharmacy,750.00,,163027.00
2024-03-03,Amazon Purchase,1600.00,,161427.00
2024-03-08,Tuition Fees,4000.00,,157427.00
2024-03-11,Internet Bill,799.00,,156628.00
2024-03-18,Myntra Order,2450.00,,154178.00
2024-03-21,Salary, , 80000.00, 234178.00
2024-03-22,Borrowed from Friend,4000.00,,238178.00
2024-03-25,Movie Tickets,1200.00,,236978.00
2024-04-02,Groceries,999.00,,235979.00
2024-04-04,Loan Repaid by Rohan,1500.00,,237479.00
2024-04-09,Netflix Subscription,499.00,,236980.00
2024-04-12,Train Ticket,1200.00,,235780.00
2024-04-17,Gift to Sister,3500.00,,232280.00
2024-04-20,Salary, , 80000.00, 312280.00
2024-05-01,Rent Payment,18000.00,,294280.00
2024-05-11,Supermarket,2100.00,,292180.00
2024-05-18,Doctor Consultation,1800.00,,290380.00
2024-05-21,Travel Booking,4200.00,,286180.00
2024-05-26,Grocery & Fruits,1450.00,,284730.00
2024-05-29,Lent to Arjun,7000.00,,277730.00
2024-05-30,Salary, , 80000.00, 357730.00
